filename,width,height,class,xmin,ymin,xmax,ymax
IMG_4180_JPG_jpg.rf.99156267ab695fad7ec7926403b8729c.jpg,640,640,1,275,260,378,336
IMG_4180_JPG_jpg.rf.99156267ab695fad7ec7926403b8729c.jpg,640,640,0,316,272,336,290
IMG_4728_jpeg_jpg.rf.c7f9f0f39206a7aa4667aaf0a6051224.jpg,640,640,1,203,259,364,384
IMG_4728_jpeg_jpg.rf.c7f9f0f39206a7aa4667aaf0a6051224.jpg,640,640,0,216,310,241,335
IMG_4769_jpeg_jpg.rf.dae5f0e584b164a55970a6b23ed26880.jpg,640,640,1,135,292,314,419
IMG_4769_jpeg_jpg.rf.dae5f0e584b164a55970a6b23ed26880.jpg,640,640,0,134,335,161,364
-2022-03-13-214207_png_jpg.rf.5f66247c698ef23dba95fefdd65d79ad.jpg,640,640,1,126,364,378,578
-2022-03-13-214207_png_jpg.rf.5f66247c698ef23dba95fefdd65d79ad.jpg,640,640,0,181,477,217,508
144-2-_jpg.rf.d0bc02c7e5c0225c5240339089f8b53a.jpg,1024,795,1,519,106,764,346
144-2-_jpg.rf.d0bc02c7e5c0225c5240339089f8b53a.jpg,1024,795,0,696,181,729,220
-2022-03-13-190657_png_jpg.rf.12163dc38492dbfa0b0a5622cb39da94.jpg,420,640,1,115,276,340,475
-2022-03-13-190657_png_jpg.rf.12163dc38492dbfa0b0a5622cb39da94.jpg,420,640,0,234,367,269,400
-2022-03-13-214156_png_jpg.rf.c32dd196905c20500c193bd4e6f10c81.jpg,640,640,1,62,25,359,222
-2022-03-13-214156_png_jpg.rf.c32dd196905c20500c193bd4e6f10c81.jpg,640,640,0,158,76,193,102
-2022-03-13-214225_png_jpg.rf.a0dc5a4a1c71ffcb6b99fd85007f7554.jpg,640,640,1,343,428,479,635
-2022-03-13-214225_png_jpg.rf.a0dc5a4a1c71ffcb6b99fd85007f7554.jpg,640,640,0,471,531,500,573
OIP-2-_jpg.rf.bc5e0eef8e6e90d3535c5c509e1a256c.jpg,474,355,0,421,224,431,241
OIP-2-_jpg.rf.bc5e0eef8e6e90d3535c5c509e1a256c.jpg,474,355,1,324,170,432,301
-2022-03-12-235902_png_jpg.rf.cadab2097b2154161d8160628b848871.jpg,420,640,1,45,71,315,265
-2022-03-12-235902_png_jpg.rf.cadab2097b2154161d8160628b848871.jpg,420,640,0,160,106,198,134
Baptiste200_mp4-12_jpg.rf.ea28dc713e9cb93bcecca257564efb53.jpg,1080,1080,1,435,26,870,284
Baptiste200_mp4-12_jpg.rf.ea28dc713e9cb93bcecca257564efb53.jpg,1080,1080,0,723,2,845,43
21_jpg.rf.067d17e7e0f41fc4fd49672b25335253.jpg,339,509,1,104,30,166,92
21_jpg.rf.067d17e7e0f41fc4fd49672b25335253.jpg,339,509,0,129,44,148,65
Angel350_mp4-25_jpg.rf.9a759fc4cc43b414f5ceabf903a0b5fb.jpg,1080,1080,0,450,369,484,389
Angel350_mp4-25_jpg.rf.9a759fc4cc43b414f5ceabf903a0b5fb.jpg,1080,1080,1,397,341,585,449
-2022-03-12-235911_png_jpg.rf.57b5f35093d15cefcd792ea2f7caea3f.jpg,420,640,1,112,259,408,469
-2022-03-12-235911_png_jpg.rf.57b5f35093d15cefcd792ea2f7caea3f.jpg,420,640,0,244,366,292,409
Barbells-12-_png.rf.f793736bc5306f294826ceeb289efc5b.jpg,1920,1080,1,1122,570,1291,807
Barbells-12-_png.rf.f793736bc5306f294826ceeb289efc5b.jpg,1920,1080,0,1364,690,1380,727
133_jpg.rf.4405dd821be2714253e280535e6759c1.jpg,416,416,1,189,45,275,175
133_jpg.rf.4405dd821be2714253e280535e6759c1.jpg,416,416,0,202,83,218,112
142_jpg.rf.f24146f1e5b43464a203b3dcf7cb0258.jpg,1082,1080,1,383,53,770,445
142_jpg.rf.f24146f1e5b43464a203b3dcf7cb0258.jpg,1082,1080,0,572,86,625,144
-2022-03-13-214029_png_jpg.rf.d569f703dc08181ac247a32f0de2e017.jpg,640,640,1,360,408,547,597
-2022-03-13-214029_png_jpg.rf.d569f703dc08181ac247a32f0de2e017.jpg,640,640,0,523,509,547,538
IMG_1639_jpeg_jpg.rf.93a614280772e4daa8fab5a1b0916854.jpg,640,640,1,298,227,422,392
IMG_1639_jpeg_jpg.rf.93a614280772e4daa8fab5a1b0916854.jpg,640,640,0,355,292,380,326
-2022-03-13-165718_png_jpg.rf.2b18c05a5eb57fb44f9454986b9ccbc6.jpg,420,640,1,107,106,270,263
-2022-03-13-165718_png_jpg.rf.2b18c05a5eb57fb44f9454986b9ccbc6.jpg,420,640,0,170,149,195,172
-2022-03-13-213916_png_jpg.rf.1b7a7f034f3e51331bd80d943f6ceb9f.jpg,640,640,1,334,46,532,233
-2022-03-13-213916_png_jpg.rf.1b7a7f034f3e51331bd80d943f6ceb9f.jpg,640,640,0,474,116,500,148
Angel350_mp4-17_jpg.rf.fca6df1cbb8f416c586a332dec9c5414.jpg,1080,1080,0,473,365,505,384
Angel350_mp4-17_jpg.rf.fca6df1cbb8f416c586a332dec9c5414.jpg,1080,1080,1,411,338,598,445
-2022-03-13-190657_png_jpg.rf.74ca3aeb3a1032fb884341b662f7c87e.jpg,420,640,1,114,277,341,471
-2022-03-13-190657_png_jpg.rf.74ca3aeb3a1032fb884341b662f7c87e.jpg,420,640,0,230,359,271,402
167_jpg.rf.d4467f0c23b51df0d6361a6539b5e488.jpg,683,1024,0,656,657,681,701
